AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,number of parameter,"number of parameter without *args, **kargs",lineno,NBC,class
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,605,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,118,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,131,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,173,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,257,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,346,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,3,0,3,3,2,0,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,514,2,0
2,2,2,2,17,3,12,1,2,7,2,0,25,5,25,173,574,120,315,98,284,144,252,98,221,17,17,19,15,4,4,0.46,70,70,74,57,0,0,22,2,0
1,1,1,1,8,0,6,1,2,3,1,0,9,4,9,157,180,33,56,28,44,91,46,27,34,2,2,5,1,4,1,1.62,12,12,15,9,0,0,19,2,0
3,3,3,2,13,1,10,2,2,10,1,0,21,4,21,101,380,62,226,65,201,94,198,65,173,9,9,16,6,2,3,0.42,64,64,81,43,0,0,19,2,0
1,1,1,1,2,0,2,0,2,0,0,0,2,0,2,26,8,1,7,5,2,0,5,3,2,1,1,1,1,4,0,0,2,2,2,2,0,0,3887,2,0
1,1,1,1,4,0,4,0,2,0,0,0,4,0,4,20,22,3,18,8,12,1,17,7,12,1,1,1,1,2,0,0.06,4,4,4,4,0,0,3944,2,0
1,1,1,1,5,0,4,1,2,0,0,0,1,0,1,16,6,0,5,3,3,1,5,3,3,1,1,1,1,1,0,0.2,1,1,1,1,0,0,2812,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,6,0,2,2,1,4,2,2,1,0,0,0,0,4,0,2,0,0,0,0,0,0,2143,2,0
14,14,15,5,38,2,34,2,2,1,0,0,2,0,2,35,87,6,71,16,68,11,59,16,56,27,27,29,10,4,8,0.15,28,28,30,11,0,0,2150,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,34,10,1,4,3,2,5,4,3,2,1,1,1,1,4,0,1.25,1,1,1,1,0,0,2238,2,0
3,3,3,1,8,0,7,2,2,0,0,0,1,0,1,34,16,1,9,3,7,7,9,3,7,3,3,3,1,4,1,0.78,3,3,3,1,0,0,2051,2,0
6,6,6,1,22,2,19,1,2,1,0,0,2,0,2,35,54,6,41,12,38,8,29,12,26,12,12,12,1,4,3,0.2,13,13,13,2,0,0,2076,2,0
7,7,7,1,22,1,19,1,2,1,0,0,3,0,3,36,85,9,61,20,57,16,48,20,44,16,16,17,1,4,3,0.26,21,21,22,3,0,0,2142,2,0
1,1,1,1,7,0,4,2,2,5,1,0,18,1,19,38,224,46,117,68,96,61,114,66,94,6,6,6,6,1,4,0.52,32,32,32,26,0,0,36,2,0
1,1,1,1,8,0,8,0,2,1,0,0,3,1,3,13,33,5,27,14,23,1,25,14,21,3,3,3,1,3,1,0.04,5,5,5,3,0,0,127,2,0
2,2,2,1,8,1,7,0,2,0,0,0,2,0,2,12,22,5,16,8,13,1,16,8,13,3,3,3,1,3,1,0.06,4,4,4,2,0,0,192,2,0
2,2,2,1,12,0,9,2,2,2,0,1,19,2,19,29,258,29,176,72,155,53,163,71,143,6,6,7,1,3,3,0.3,44,44,50,19,0,0,291,2,0
2,2,2,1,13,0,13,0,2,0,0,0,1,0,1,12,19,2,16,11,14,1,16,11,14,2,2,2,1,3,1,0.06,2,2,2,1,0,0,844,2,0
3,3,3,1,22,0,22,0,2,0,0,1,1,0,1,12,29,2,26,12,24,1,24,12,22,3,3,3,1,3,1,0.04,3,3,3,1,0,0,893,2,0
1,1,1,1,6,0,5,1,2,0,0,0,2,0,2,9,32,5,12,6,9,15,12,6,9,2,2,2,1,3,1,1.25,3,3,3,2,0,0,306,2,0
1,1,1,1,5,0,5,0,2,2,2,0,2,0,2,37,48,6,13,6,10,29,9,6,6,1,1,2,1,2,0,2.23,2,2,3,2,0,0,210,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,33,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,5,1,4,3,2,0,4,3,2,1,1,1,1,2,0,0,1,1,1,1,0,0,33,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,35,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,3,6,1,5,4,3,0,5,4,3,1,1,1,1,2,0,0,1,1,1,1,0,0,34,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,6,1,1,1,0,4,1,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,48,2,0
1,1,1,1,9,0,8,4,2,0,0,0,1,0,1,4,12,1,10,4,8,4,10,4,8,1,1,1,1,2,0,0.4,1,1,1,1,0,0,583,2,0
1,1,1,1,6,0,5,1,2,1,0,0,2,0,2,8,19,2,15,7,9,3,11,5,8,2,2,2,1,3,1,0.2,3,3,3,2,0,0,569,2,0
1,1,1,1,10,0,8,2,2,0,0,0,1,0,1,3,11,0,9,3,7,2,5,3,3,1,1,1,1,2,0,0.22,1,1,1,1,0,0,605,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,3,0,2,1,1,1,2,1,1,0,0,0,0,3,0,0.5,0,0,0,0,0,0,547,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,2,0,2,1,1,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,582,2,0
1,1,1,1,15,3,4,8,2,1,0,0,1,0,1,1,19,4,5,2,3,10,4,2,2,1,1,1,1,1,0,2,1,1,1,1,0,0,573,2,0
1,1,1,1,10,0,8,2,2,0,0,0,4,1,4,6,44,3,33,10,28,8,17,9,12,1,1,1,1,2,0,0.24,4,4,4,4,0,0,91,2,0
1,1,1,1,5,0,5,0,2,1,0,0,8,0,8,10,54,7,44,19,34,3,38,18,29,2,2,2,1,2,1,0.07,9,9,9,8,0,0,93,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,2,2,1,1,2,2,1,0,0,0,0,2,0,0.5,0,0,0,0,0,0,137,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,4,4,3,1,4,4,3,0,0,0,0,2,0,0.25,0,0,0,0,0,0,177,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,4,4,3,1,4,4,3,0,0,0,0,2,0,0.25,0,0,0,0,0,0,189,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,4,4,3,1,4,4,3,0,0,0,0,2,0,0.25,0,0,0,0,0,0,226,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,5,0,4,4,3,1,4,4,3,0,0,0,0,2,0,0.25,0,0,0,0,0,0,326,2,0
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,1,1,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,11,2,0
0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,16,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,2,2,1,1,2,2,1,0,0,0,0,2,0,0.5,0,0,0,0,0,0,92,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,2,2,1,1,2,2,1,0,0,0,0,2,0,0.5,0,0,0,0,0,0,102,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,3,3,2,1,3,3,2,0,0,0,0,2,0,0.33,0,0,0,0,0,0,158,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,3,3,2,1,3,3,2,0,0,0,0,2,0,0.33,0,0,0,0,0,0,164,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,3,3,2,1,3,3,2,0,0,0,0,2,0,0.33,0,0,0,0,0,0,170,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,3,3,2,1,3,3,2,0,0,0,0,2,0,0.33,0,0,0,0,0,0,182,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,3,3,2,1,3,3,2,0,0,0,0,2,0,0.33,0,0,0,0,0,0,248,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,3,3,2,1,3,3,2,0,0,0,0,2,0,0.33,0,0,0,0,0,0,260,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,3,3,2,1,3,3,2,0,0,0,0,2,0,0.33,0,0,0,0,0,0,272,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,3,3,2,1,3,3,2,0,0,0,0,1,0,0.33,0,0,0,0,0,0,326,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,3,3,2,1,3,3,2,0,0,0,0,1,0,0.33,0,0,0,0,0,0,338,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,3,3,2,1,3,3,2,0,0,0,0,1,0,0.33,0,0,0,0,0,0,350,2,0
1,1,1,1,14,0,12,2,2,6,0,0,9,0,9,17,148,15,112,48,99,21,105,42,94,4,4,4,3,2,4,0.19,18,18,18,12,0,0,177,2,0
3,3,3,1,10,0,9,0,2,2,0,0,6,0,6,15,70,7,62,36,55,1,61,33,54,4,4,4,1,2,4,0.02,20,20,20,6,0,0,391,2,0
1,1,1,1,7,0,6,0,2,1,1,0,3,0,3,5,28,3,24,11,18,1,23,11,17,2,2,2,1,2,1,0.04,5,5,5,4,0,0,439,2,0
1,1,1,1,5,0,5,0,2,0,0,0,2,0,2,4,14,1,13,8,9,0,13,8,9,2,2,2,1,2,1,0,4,4,4,3,0,0,469,2,0
1,1,1,1,10,1,9,0,2,0,0,0,2,0,2,4,22,3,19,8,15,0,17,8,13,2,2,2,1,2,1,0,4,4,4,3,0,0,485,2,0
1,1,1,1,4,0,4,1,2,0,0,0,1,0,1,3,5,0,5,4,3,1,5,4,3,1,1,1,1,2,0,0.2,1,1,1,1,0,0,532,2,0
4,4,5,1,23,0,23,0,2,0,0,0,1,0,1,3,24,0,24,7,22,0,22,7,20,4,4,5,1,2,2,0,4,4,5,1,0,0,601,2,0
1,1,1,1,11,0,9,1,2,1,0,0,4,0,4,6,58,7,44,18,38,7,40,18,34,2,2,2,1,2,1,0.16,6,6,6,5,0,0,740,2,0
1,1,1,1,4,0,4,0,2,0,0,0,3,0,3,99,18,3,15,8,11,0,15,8,11,1,1,1,1,2,0,0,3,3,3,3,0,0,42,2,0
1,1,1,1,10,1,8,1,2,0,0,1,6,1,6,14,77,17,51,27,42,9,51,27,42,3,3,3,1,2,1,0.18,12,12,12,8,0,0,64,2,0
1,1,1,1,7,0,6,1,2,3,0,0,7,1,7,15,62,8,47,16,39,7,41,15,33,3,3,3,1,2,1,0.15,9,9,9,7,0,0,261,2,0
4,4,4,2,16,1,10,4,2,10,5,1,15,0,15,81,299,40,169,44,156,93,152,43,136,13,13,16,9,3,4,0.55,66,66,71,40,0,0,572,2,0
2,2,2,1,3,0,3,1,2,0,0,0,1,0,1,27,10,0,4,2,2,7,5,2,3,2,2,2,1,3,1,1.75,2,2,2,1,0,0,1703,2,0
2,2,2,2,10,1,5,4,2,3,2,0,2,0,2,38,27,4,11,3,8,12,11,3,8,3,3,3,3,3,1,1.09,4,4,4,4,0,0,1731,2,0
1,1,1,1,2,0,2,0,2,0,0,0,2,0,2,92,8,0,6,3,3,2,6,3,3,1,1,1,1,4,0,0.33,2,2,2,2,0,0,199,2,0
1,1,1,1,4,0,3,1,2,0,0,0,5,0,5,24,39,6,16,6,10,17,12,6,6,2,2,4,1,3,0,1.06,6,6,9,5,0,0,375,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,113,2,0,2,1,1,0,2,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1393,2,0
1,1,1,1,4,0,4,0,2,1,1,0,7,1,8,88,38,3,34,12,25,1,29,10,20,3,3,3,3,3,2,0.03,13,13,14,10,0,0,1404,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,2,0,2,1,1,0,2,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1612,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,2,0,2,1,1,0,2,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1616,2,0
1,1,1,1,4,0,3,0,2,1,0,0,12,0,12,48,56,1,42,14,28,13,30,13,17,3,3,4,3,4,1,0.31,14,14,15,14,0,0,108,2,0
1,1,1,1,4,0,3,1,2,1,0,1,6,0,6,29,35,1,24,8,16,10,18,7,11,3,3,4,3,3,1,0.42,8,8,9,8,0,0,135,2,0
1,1,1,1,8,0,3,4,2,1,0,4,5,3,5,19,51,6,20,9,14,25,18,9,12,2,2,2,1,3,1,1.25,7,7,7,5,0,0,252,2,0
1,1,1,1,7,0,3,3,2,1,0,3,5,2,5,19,45,5,20,9,14,20,17,9,11,2,2,2,1,3,1,1,7,7,7,5,0,0,394,2,0
1,1,2,1,6,0,5,0,2,1,1,0,4,2,4,8,35,6,21,9,16,8,19,9,14,4,4,5,3,2,1,0.38,7,7,8,6,0,0,495,2,0
2,2,2,1,15,1,8,5,2,8,2,0,6,0,9,29,157,23,78,31,65,56,60,27,50,7,7,8,3,4,3,0.72,23,23,24,11,0,0,24,2,0
2,2,2,1,15,1,6,7,2,1,1,0,2,0,2,22,37,3,14,3,11,20,12,3,9,3,3,3,1,4,1,1.43,5,5,5,2,0,0,60,2,0
2,2,2,1,13,1,7,5,2,2,2,0,5,1,5,12,77,13,38,16,32,27,36,16,30,6,6,6,3,2,2,0.71,12,12,12,7,0,0,251,2,0
3,3,3,1,13,2,9,2,2,4,1,0,3,0,3,38,42,8,28,16,24,6,26,16,22,5,5,5,3,3,2,0.21,10,10,10,5,0,0,114,2,0
3,3,4,1,14,0,12,1,2,13,9,0,13,3,13,63,204,21,165,51,151,19,126,51,112,8,8,12,6,3,5,0.12,49,49,55,22,0,0,275,2,0
0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,68,2,0,2,1,1,0,2,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,513,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,68,2,0,2,1,1,0,2,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,519,2,0
1,1,1,1,3,0,3,0,2,1,1,0,11,2,11,61,48,11,35,17,23,2,30,17,18,2,2,3,1,3,1,0.06,13,13,15,11,0,0,526,2,0
1,1,1,1,7,0,6,1,2,1,1,0,3,0,3,65,25,2,19,9,15,4,15,9,11,2,2,2,1,5,1,0.21,4,4,4,3,0,0,592,2,0
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,63,2,0,2,1,1,0,2,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,640,2,0
1,1,1,1,3,0,3,0,2,0,0,0,2,0,2,67,8,1,7,3,4,0,7,3,4,2,2,2,1,6,1,0,3,3,3,2,0,0,643,2,0
1,1,1,1,2,0,2,0,2,0,0,0,1,0,1,65,3,0,3,2,1,0,3,2,1,1,1,1,1,5,0,0,1,1,1,1,0,0,652,2,0
1,1,1,1,5,0,5,0,2,1,0,0,3,0,3,68,20,2,17,9,13,1,14,9,10,2,2,2,1,4,0,0.06,4,4,4,3,0,0,792,2,0
1,1,1,1,1,0,1,0,2,0,0,0,9,0,9,23,29,9,20,13,10,0,20,11,10,1,1,2,1,3,0,0,9,9,10,9,0,0,736,2,0
1,1,1,1,3,0,3,0,2,0,0,0,1,0,1,20,15,3,4,2,2,8,4,2,2,1,1,1,1,3,0,2,1,1,1,1,0,0,134,2,0
2,2,3,1,13,2,7,4,2,2,1,2,6,3,6,15,129,28,44,22,34,57,41,19,34,5,5,7,1,3,2,1.3,15,15,18,6,0,0,562,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,2,1,1,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,155,2,0
3,3,4,2,20,2,10,7,2,9,3,0,17,2,17,25,388,56,184,55,165,150,157,52,139,11,11,18,11,2,3,0.82,59,59,71,34,0,0,1187,2,0
1,1,1,1,5,0,3,1,2,1,0,0,3,2,3,3,49,11,21,13,13,17,21,13,13,3,3,3,1,1,2,0.81,8,8,8,6,0,0,737,2,0
5,5,5,1,24,2,22,0,2,0,0,0,1,1,1,72,31,3,28,15,19,0,21,8,19,5,5,5,1,2,1,0,5,5,5,1,0,0,164,2,0
2,2,2,1,11,0,8,3,2,1,0,1,1,0,1,14,12,0,9,3,7,3,7,3,5,2,2,2,1,2,1,0.33,2,2,2,1,0,0,417,2,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,2,0,2,1,1,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,454,2,0
1,1,1,1,7,0,5,2,2,0,0,0,1,0,1,15,8,0,6,2,4,2,3,2,1,1,1,1,1,2,0,0.33,1,1,1,1,0,0,501,2,0
1,1,1,1,6,0,6,0,2,1,0,0,1,0,1,15,7,0,7,2,5,0,3,2,1,1,1,1,1,2,0,0,1,1,1,1,0,0,541,2,0
2,2,2,1,13,1,9,3,2,18,7,6,41,20,43,128,700,109,405,119,341,194,342,100,297,11,11,18,11,2,6,0.48,108,108,121,65,0,0,36,2,0
2,2,3,1,18,2,11,5,2,11,3,2,23,13,24,109,502,85,295,112,259,126,238,101,213,12,12,16,4,2,4,0.43,59,59,72,31,0,0,35,2,0
2,2,2,1,11,1,8,1,2,1,0,0,9,6,9,94,114,18,83,39,65,13,70,31,60,5,5,7,1,2,1,0.16,18,18,23,9,0,0,966,2,0
2,2,3,1,27,4,13,9,2,6,6,0,13,7,13,176,389,72,183,71,157,134,148,58,134,8,8,10,6,3,5,0.73,38,38,44,20,0,0,1902,2,0
2,2,2,1,11,1,9,0,2,8,4,2,12,4,12,41,149,26,114,45,101,9,110,44,97,5,5,5,4,2,2,0.08,25,25,25,17,0,0,650,2,0
1,1,1,1,11,1,9,0,2,9,3,0,11,3,11,40,133,21,102,37,90,10,98,36,86,4,4,4,3,2,2,0.1,19,19,19,15,0,0,524,2,0
2,2,2,1,9,0,8,0,2,0,0,0,7,3,7,16,74,11,63,20,54,0,61,19,53,5,5,5,1,2,3,0,18,18,18,7,0,0,763,2,0
1,1,1,1,3,0,3,0,2,0,0,0,2,1,2,5,9,1,8,4,5,0,8,4,5,1,1,1,1,2,0,0,2,2,2,2,0,0,839,2,0
2,2,2,1,11,1,9,0,2,1,0,0,6,1,6,81,76,14,57,27,49,5,48,26,41,7,7,7,3,3,2,0.09,13,13,13,8,0,0,22,2,0
3,3,3,1,12,1,10,1,2,2,0,0,4,1,4,84,57,10,44,18,39,4,49,18,44,6,6,7,3,3,1,0.09,14,14,15,6,0,0,58,2,0
1,1,1,1,4,0,4,0,2,0,0,0,6,0,6,42,38,5,26,10,19,7,28,10,21,2,2,2,1,2,1,0.27,8,8,8,6,0,0,187,2,0
1,1,1,1,5,0,3,1,2,2,2,0,10,1,10,53,82,16,42,18,31,24,42,18,31,1,1,1,1,2,0,0.57,10,10,10,10,0,0,283,2,0
1,1,1,1,3,0,3,0,2,4,3,0,9,0,9,38,37,9,28,15,18,1,27,15,17,2,2,2,1,2,1,0.04,10,10,10,9,0,0,394,2,0
2,2,2,1,11,0,10,0,2,6,1,0,13,8,13,42,169,24,136,52,122,9,117,51,103,8,8,8,3,2,4,0.07,33,33,33,15,0,0,571,2,0
1,1,1,1,10,0,8,1,2,10,5,0,13,9,13,42,154,23,106,48,91,26,96,47,81,4,4,5,1,2,3,0.25,21,21,22,13,0,0,695,2,0
